P.O.V.	P.O.V
POV	P.O.V
Hmmm...	Hmmm
W.W.II	WWII
USG	U.S.G
USS	U.S.S
S.A.B.C.A.	SABCA
UTA	U.T.A
AJP	A.J.P
Stavisky...	Stavisky
AIC	A.I.C
I.S.R.O.	ISRO
Cantab.	Cantab
.info	info
X.400	X400
.coop	coop
Neurotic.	neurotic
X.200	X200
F.e.v.e.r.	fever
Until...	Until
JEB	J.E.B
.post	Post
D.a.m.n.	Damn
.data	Data
.name	name
JCR	J.C.R
M.I.A.M.I.	MIAMI
24p	2.4p
Dear...	Dear
25p	2.5p
Prof.	Prof
Streets...	streets
Always...	always
Always...	Always
Janet.	Janet
S.H.I.E.L.D.	SHIELD
Fido.net	Fidonet
.local	Local
FSB	F.S.B
G.ho.st	ghost
Dear...	dear
Finally...	finally
.mail	mail
W.A.R.S.	WARS
H.a.n.d.	Hand
W.A.S.P.	WASP
Streets...	Streets
E.piphany	epiphany
.hack	Hack
Brute.	brute
E.123	E123
Cmdr.	Cmdr
M.ill.ion	million
Nathalie...	Nathalie
.data	data
D.a.m.n.	damn
.coop	Coop
C.O.R.E.	CORE
.properties	Properties
470s	4.70s
Will.i.am	william
.music	Music
Later...	later
Beautiful.	beautiful
R.A.F.I.	RAFI
L.o.t.u.s.	lotus
M.o.v.e	move
Moon.	moon
Cod	c.o.d
.mail	Mail
65mm	6.5mm
JRR	J.R.R
Waiting...	waiting
LIT	L.I.T
N.A.S.A	NASA
N.E.W.S	NEWS
N.E.W.S.	NEWS
N.EX.T	NEXT
.asia	Asia
Forever...	forever
DOA	D.O.A
DOC	D.O.C
Wash.	wash
F.R.E.S.H.	FRESH
F.E.A.R.	FEAR
Ma.gnolia	magnolia
Che.r.ry	cherry
G.ho.st	Ghost
Beautiful.	Beautiful
.properties	properties
.jobs	jobs
Meanwhile...	Meanwhile
Finally...	Finally
R.U.L.E.	RULE
M.o.v.e	Move
Moon.	Moon
.root	root
.info	Info
.example	example
DSA	D.S.A
A.d.i.d.a.s.	Adidas
Infinite...	Infinite
Well...	well
SSR	S.S.R
Melody.	melody
D.A.N.C.E.	DANCE
S.P.A.	S.P.A
SPA	S.P.A
MIM	M.I.M
Towers...	Towers
Nice.	nice
S.O.A.P.	SOAP
.travel	travel
N.Y.P.D.	NYPD
SOB	S.O.B
SOS	S.O.S
EMTV	EM.TV
.root	Root
S.U.C.C.E.S.S.	SUCCESS
.aero	Aero
S.T.A.R.	STAR
Meanwhile...	meanwhile
MRS	M.R.S
PTA	P.T.A
M.O.V.I.E.	MOVIE
V.I.S.A.	VISA
.nato	Nato
.name	Name
Seoul.	Seoul
.shop	shop
F.e.v.e.r.	Fever
A.T.F.	ATF
B.A.C	BAC
B.A.C.	BAC
B.A.D	BAD
B.A.T.	BAT
A.C.T	ACT
A.D.M.	ADM
A.G.E.	AGE
A.P.C.	APC
A.O.C.	AOC
DAB	D.A.B
D.A.R.	D.A.R
DAR	D.A.R
A.N.I.M.A.L.	ANIMAL
DDS	D.D.S
SAS	S.A.S
K.a.r.m.a	karma
Revealed...	revealed
B.O.D.Y.	BODY
Amen.	Amen
B.O.M.B.	BOMB
F.R.A.N.K.	FRANK
E.mu	Emu
F.P.S.	FPS
Target.	target
H.I.S.	HIS
.geo	Geo
H.E.I.	HEI
GT.M	GTM
G.O.P.	GOP
PA.SO.K.	PASOK
I.O.R.	IOR
.berlin	Berlin
H.S.C.	HSC
H.O.T.	HOT
HOW...	HOW
.gov	Gov
G.o.d.	God
I.n.g	Ing
Melody.	Melody
Inc.	Inc
Excerpts...	Excerpts
J.A.R.	JAR
Open....	open
D.e.s.t.i.t.u.t.i.o.n	destitution
B.S.A.	BSA
A.s.h	Ash
B.T.R.	BTR
C.A.B.	CAB
Elbo.ws	Elbows
C.L.A.S.H.	CLASH
Nice.	Nice
Over...	over
D.A.W.	DAW
D.D.E.	DDE
.cat	Cat
C.F.I.	CFI
Ber.	Ber
B.e.m.	Bem
C.E.O.	CEO
.biz	Biz
Bio.	Bio
C.M.B.	CMB
C.M.F.	CMF
C.M.A.	CMA
C.T.C.	CTC
C.P.R.	CPR
Probability.	probability
EAT.	EAT
Dan.	Dan
D.M.Z.	DMZ
D.F.C.	DFC
.cdr	Cdr
D.I.E.	DIE
D.S.D.	DSD
D.S.C.	DSC
D.T.P.	DTP
D.V.I.	DVI
D.O.E.	DOE
D.O.D.	DOD
D.P.T	DPT
Cpl.	Cpl
.com	Com
Until...	until
F.A.L.	FAL
.paris	Paris
F.I.D.	FID
.eco	Eco
E.N.I.	ENI
E.M.S.	EMS
E.N.G.	ENG
Otto.	otto
Drs.	Drs
E.U.R	EUR
E.R.A	ERA
.dot	Dot
.net	Net
O.F.R.	OFR
.jobs	Jobs
Num.	Num
.aero	aero
O.N.A.	ONA
O.T.C.	OTC
O.S.T.	OST
P.A.R.	PAR
WE.177	WE177
P.O.S	POS
P.O.S.	POS
P.O.P	POP
P.O.D.	POD
.org	Org
Plc.	Plc
Pin...	Pin
Q.E.D.	QED
.museum	Museum
.pro	Pro
Pol.	Pol
R.O.K.	ROK
R.E.M.	REM
S.C.A.P.A.	SCAPA
B.A.C.K.	BACK
G.O.L.D	GOLD
G.O.L.D.	GOLD
Isa.	Isa
K.G.B.	KGB
Towers...	towers
M.B.A.	M.B.A
MDC	M.D.C
Broadcasting...	broadcasting
.museum	museum
S.W.A.T.	SWAT
L.E.O.	LEO
Forever...	Forever
LM.C	LMC
India.	india
L.S.T.	LST
A.k.a.	a.k.a
Aka	a.k.a
L.T.D.	LTD
E.piphany	Epiphany
M.B.A.	MBA
MIA.	MIA
M.T.A.	MTA
M.S.G.	MSG
.med	Med
N.I.B.	NIB
N.B.A.	NBA
N.D.P.	NDP
Moe.	Moe
N.W.A	NWA
Amen.	amen
N.R.M.	NRM
Mrs.	Mrs
Y.E.S.	YES
.onion	Onion
A.out	aout
Run-D.M.C.	Run-DMC
.web	Web
K.I.N.G.	KING
K.I.D.S.	KIDS
A.D.A.M.	ADAM
Infinite...	infinite
Vol.	Vol
X.25	X25
WSJ.	WSJ
ICM	I.C.M
Viz.	Viz
W.O.W.	WOW
.zip	Zip
Broadcasting...	Broadcasting
.test	test
I.T.A.L.Y.	ITALY
.sys	Sys
ETS	E.T.S
T.W.O	TWO
.tel	Tel
U.A.E	UAE
.sig	Sig
T.I.P.	TIP
Sdn.	Sdn
Sp.a	Spa
T.S.E.	TSE
T.N.A	TNA
T.O.Y.	TOY
T.O.P	TOP
T.O.P.	TOP
F.O.O.D.	FOOD
S.V.G.	SVG
Sam.	Sam
S.a.l.	Sal
.ras	Ras
S.E.X.	SEX
R.ef	Ref
S.P.A.	SPA
S.R.O.	SRO
S.S.T.	SST
S.N.L.	SNL
W.A.R.	WAR
Geni.com	Genicom
RWB	R.W.B
T.O.N.Y.	TONY
U.S.C.	USC
Ma.gnolia	Magnolia
.biz	biz
Bio.	bio
.cat	cat
A.k.a.	aka
RIP	R.I.P
Waiting...	Waiting
A.s.h	ash
Target.	Target
RMS	R.M.S
Free...	free
.shop	Shop
True...	true
Elbo.ws	elbows
In.com	Incom
Prof.	prof
KAB	K.A.B
L.o.t.u.s.	Lotus
C.T.C.	C.T.C
CTC	C.T.C
Oooh.	Oooh
.music	music
G.o.d.	god
.gnu	gnu
Open....	Open
Excerpts...	excerpts
India.	India
Inc.	inc
.int	int
I.n.g	ing
.test	Test
NFP	N.F.P
Rough...	rough
R.E.M.	R.E.M
REM	R.E.M
G.e.m.a	Gema
P.L.A.N.	PLAN
E.mu	emu
H.E.A.R.	HEAR
.daa	daa
.travel	Travel
H.E.R.O.	HERO
H.E.L.P.	HELP
.com	com
.example	Example
Rough...	Rough
.dwt	dwt
.dot	dot
R.ef	ref
.invalid	invalid
.ras	ras
Over...	Over
ESM	E.S.M
Humanity...	Humanity
Sp.a	spa
.snd	snd
.sys	sys
.sub	sub
TPO	T.P.O
F.O.R.C.E.	FORCE
Plc.	plc
Pin...	pin
Pol.	pol
.pro	pro
.local	local
H.a.n.d.	hand
.net	net
H.O.P.E.	HOPE
Humanity...	humanity
Adaptation.	adaptation
Che.r.ry	Cherry
KMM	K.M.M
Otto.	Otto
.lat	lat
Lat.	lat
.post	post
KPS	K.P.S
S.C.I.E.N.C.E.	SCIENCE
.med	med
.mil	mil
CCH	C.C.H
E.d.i.t	edit
Wash.	Wash
ANR	A.N.R
CDP	C.D.P
Revealed...	Revealed
.onion	onion
.zip	zip
AML	A.M.L
THE	T.H.E
.xxx	xxx
U.S.D.A.	USDA
U.S.G.A.	USGA
BCK	B.C.K
Free...	Free
WAC	W.A.C
.web	web
Well...	Well
.hack	hack
U.S.M.C.	USMC
H.320	H320
L.I.F.E.	LIFE
B.A.T.	B.A.T
True...	True
W.A.T.C.H	WATCH
.tel	tel
SKIP	S.K.I.P
Will.i.am	William
M.ill.ion	Million
WEB	W.E.B
Later...	Later
C.r.a.s.s.	crass
CIT	C.I.T
L.A.OS.	LAOS
D.I.G.I.T.A.L.	DIGITAL
