"DBPedia Ressource (bei anderer Sprache label auswerten)"	"Wortschatz"	"Korrektheit"	"Anmerkung"	"unsicher"	"Was dbpedia damit bezeichnet"	"Was der wortschatz damit bezeichnet"
"N.A.S.A"	"NASA"	0	"redirect"			
"Seoul."	"Seoul"	0	"redirect"			
".music"	"music"	0				
".asia"	"Asia"	0				
"S.C.A.P.A."	"SCAPA"	0	"redirect"			
"I.O.R."	"IOR"	0				
"Forever..."	"Forever"	0				
".coop"	"Coop"	0				
".sys"	"Sys"	0				
"C.F.I."	"CFI"	0	"redirect"			
"F.O.R.C.E."	"FORCE"	0				
"Over..."	"over"	0				
"F.e.v.e.r."	"fever"	0				
"A.G.E."	"AGE"	0				
"P.O.V."	"P.O.V"	0	"nicht gefunden im wortschatz"			
"Drs."	"Drs"	1				
".local"	"local"	0				
"Moe."	"Moe"	0				
"Elbo.ws"	"elbows"	0				
"F.R.A.N.K."	"FRANK"	0				
"P.O.S"	"POS"	0				
".root"	"Root"	0				
".music"	"Music"	0				
"I.n.g"	"ing"	0				
".example"	"example"	0			"reserved top level domain"	
"Until..."	"until"	0				
"DSA"	"D.S.A"	0	"nicht gefunden im wortschatz"			
"P.A.R."	"PAR"	0	"redirect"			
".zip"	"zip"	0	"redirect"			
"RWB"	"R.W.B"	0	"nicht gefunden im wortschatz"			
"6 redirects also 24 nicht-redirects"						
"1 richtiger, also 1/24, ca 4%"						
